Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,207.12542162892083,32.08088776695912,3.021702075715881,0.07615182343156307
2,voigt,274.0641097872502,112.54946432778416,24.30212223341058,0.17993971085798824
3,voigt,435.52888888001087,27.813019846901646,2.0964854930131724,0.05593635964893138
4,voigt,545.8557231840749,42.05863050613961,15.644414600750185,0.2773608122203259
5,voigt,520.4337088244137,27.71572711691781,11.974494135165141,0.3204134856459809
6,voigt,578.9137593352058,59.066937977356105,15.771676169399488,0.19999999999999998
7,voigt,662.0153915692346,29.94480396424752,6.740817746059965,0.16667916583177395
8,lorentz,766.4327123947447,9.558474903775497,1.611247389536792,0.10433469578798121
9,lorentz,787.7162396932714,7.2106909422428584,4.444613847856622,0.37449475520592335
10,lorentz,796.0926902903868,10.076386458952236,1.7771013796243145,0.11203988006326096
11,gauss,768.7161275911063,85.15662571787787,54.52163430317831,0.6014479173542678
12,voigt,845.9410378040226,45.56205414720867,22.556996880061305,0.36791286989219707
13,voigt,951.8426761021882,24.06139441798136,18.904627763816453,0.580562829409898
14,voigt,935.7257841905941,25.270599041581704,9.15982904045807,0.2680617680347929
15,gauss,916.7029057999517,55.12557397051539,35.20791295305501,0.5999524583360509
16,voigt,876.6430168457827,48.02903366243637,28.712895302381433,0.4440687859131294
17,gauss,1090.7862834535485,84.16823548215018,6.101733751984077,0.06810135573983778
18,gauss,1246.6725340503904,216.07750746941312,15.343976637850158,0.06670798579374723
19,lorentz,1414.9347105730476,97.03195495757258,29.601603073829246,0.1942023460425525
